Plugin ID,CVE,CVSS,VPR,Risk,Host,Name,Synopsis,Solution
10407,N/A,5.0,3.2,Medium,10.0.1.1,SSL Certificate Expired,The SSL certificate has expired,Renew the SSL certificate
55902,CVE-2024-1234,9.8,9.1,Critical,10.0.1.2,Cisco IOS RCE,Remote code execution vulnerability,Upgrade to IOS 17.3.8 or later
42263,N/A,5.3,3.8,Medium,10.0.2.1,SSH Weak Algorithms,SSH server supports weak algorithms,Disable weak algorithms
78432,CVE-2024-5678,9.1,8.7,Critical,10.0.3.1,PAN-OS Auth Bypass,Authentication bypass in PAN-OS,Apply hotfix 11.1.2-h3
65821,N/A,7.1,4.5,High,10.0.4.1,SNMP Default Community,SNMP using default community string,Change community string to non-default
91345,CVE-2024-9012,8.1,7.3,High,10.0.5.1,Cisco IOS Command Injection,Command injection via HTTP,Disable ip http server
88001,N/A,3.5,2.1,Low,10.0.6.1,DNS Server Version Detection,DNS server version disclosed,Configure to hide version
77002,CVE-2025-1111,6.5,5.2,Medium,10.0.7.1,Fortinet XSS,Cross-site scripting in admin panel,Update FortiOS firmware
33445,N/A,4.0,2.8,Low,10.0.8.1,ICMP Timestamp Reply,Host responds to ICMP timestamp,Block ICMP at firewall
55902,CVE-2024-1234,9.8,9.1,Critical,10.0.9.1,Cisco IOS RCE,Remote code execution vulnerability,Upgrade to IOS 17.3.8 or later
78432,CVE-2024-5678,9.1,8.7,Critical,10.0.10.1,PAN-OS Auth Bypass,Authentication bypass in PAN-OS,Apply hotfix 11.1.2-h3
91345,CVE-2024-9012,8.1,7.3,High,10.0.11.1,Cisco IOS Command Injection,Command injection via HTTP,Disable ip http server
65821,N/A,7.1,4.5,High,10.0.12.1,SNMP Default Community,SNMP using default community string,Change community string to non-default
10407,N/A,5.0,3.2,Medium,10.0.13.1,SSL Certificate Expired,The SSL certificate has expired,Renew the SSL certificate
88001,N/A,3.5,2.1,Low,10.0.14.1,DNS Server Version Detection,DNS server version disclosed,Configure to hide version
